state,name,description,image,url
Uttar Pradesh,Varanasi,"Spiritual capital of India, Ganga Aarti & temples.",https://i.postimg.cc/dVnD6bpT/Ram-Janambhoomi-Temple-Ayodhya.jpg,#
Uttar Pradesh,Ayodhya,"Birthplace of Lord Rama, Ram Mandir.",https://i.postimg.cc/dVnD6bpT/Ram-Janambhoomi-Temple-Ayodhya.jpg,#
Uttar Pradesh,Prayagraj,Triveni Sangam & Kumbh Mela.,https://i.postimg.cc/dVnD6bpT/Ram-Janambhoomi-Temple-Ayodhya.jpg,#
Uttar Pradesh,Chitrakoot,Holy town with Ramayana significance.,https://i.postimg.cc/dVnD6bpT/Ram-Janambhoomi-Temple-Ayodhya.jpg,#
Uttar Pradesh,Naimisharanya,Ancient forest pilgrimage site.,https://i.postimg.cc/dVnD6bpT/Ram-Janambhoomi-Temple-Ayodhya.jpg,#
Uttar Pradesh,Lucknow,Nawabi culture & heritage.,https://i.postimg.cc/dVnD6bpT/Ram-Janambhoomi-Temple-Ayodhya.jpg,#
Uttar Pradesh,Agra,Home to the Taj Mahal.,https://i.postimg.cc/dVnD6bpT/Ram-Janambhoomi-Temple-Ayodhya.jpg,#
Uttar Pradesh,Mathura & Vrindavan,Birthplace of Lord Krishna.,https://i.postimg.cc/dVnD6bpT/Ram-Janambhoomi-Temple-Ayodhya.jpg,#
Uttar Pradesh,Shravasti,Important Buddhist site.,https://i.postimg.cc/dVnD6bpT/Ram-Janambhoomi-Temple-Ayodhya.jpg,#
Uttar Pradesh,Kushinagar,Lord Buddha's Mahaparinirvana place.,https://i.postimg.cc/dVnD6bpT/Ram-Janambhoomi-Temple-Ayodhya.jpg,#
Uttar Pradesh,Kapilvastu (Piprahwa-India),Historic Buddhist site.,https://i.postimg.cc/dVnD6bpT/Ram-Janambhoomi-Temple-Ayodhya.jpg,#
Uttar Pradesh,Sankisa,Associated with Buddha's descent from heaven.,https://i.postimg.cc/dVnD6bpT/Ram-Janambhoomi-Temple-Ayodhya.jpg,#
Uttar Pradesh,Kaushambi,Ancient city with Buddhist history.,https://i.postimg.cc/dVnD6bpT/Ram-Janambhoomi-Temple-Ayodhya.jpg,#
Uttar Pradesh,Devdah (Maharajganj),Linked to Buddha's maternal home.,https://i.postimg.cc/dVnD6bpT/Ram-Janambhoomi-Temple-Ayodhya.jpg,#
Bihar,Gaya (Bodhgaya),Buddha attained enlightenment here.,https://i.postimg.cc/dVnD6bpT/Ram-Janambhoomi-Temple-Ayodhya.jpg,#
Bihar,Rajgir & Nalanda,Ancient learning & spiritual centers.,https://i.postimg.cc/dVnD6bpT/Ram-Janambhoomi-Temple-Ayodhya.jpg,#
Bihar,Patna,Historic city on Ganga's banks.,https://i.postimg.cc/dVnD6bpT/Ram-Janambhoomi-Temple-Ayodhya.jpg,#
Bihar,Vaishali,Ancient republic & Buddhist site.,https://i.postimg.cc/dVnD6bpT/Ram-Janambhoomi-Temple-Ayodhya.jpg,#
Madhya Pradesh,Chitrakoot,Pilgrimage town in Vindhya hills.,https://i.postimg.cc/dVnD6bpT/Ram-Janambhoomi-Temple-Ayodhya.jpg,#
Madhya Pradesh,Kalinjar,Historic fort with rich past.,https://i.postimg.cc/dVnD6bpT/Ram-Janambhoomi-Temple-Ayodhya.jpg,#
Madhya Pradesh,Maihar,Known for Sharda Devi temple.,https://i.postimg.cc/dVnD6bpT/Ram-Janambhoomi-Temple-Ayodhya.jpg,#
Madhya Pradesh,Khajuraho,UNESCO temple site.,https://i.postimg.cc/dVnD6bpT/Ram-Janambhoomi-Temple-Ayodhya.jpg,#
Madhya Pradesh,Orchha,Heritage town with palaces.,https://i.postimg.cc/dVnD6bpT/Ram-Janambhoomi-Temple-Ayodhya.jpg,#
Madhya Pradesh,Jhansi,Land of Rani Lakshmibai.,https://i.postimg.cc/dVnD6bpT/Ram-Janambhoomi-Temple-Ayodhya.jpg,#
Madhya Pradesh,Gwalior,Fort city with history.,https://i.postimg.cc/dVnD6bpT/Ram-Janambhoomi-Temple-Ayodhya.jpg,#
Jharkhand,Deoghar,Baba Baidyanath Dham temple town.,https://i.postimg.cc/dVnD6bpT/Ram-Janambhoomi-Temple-Ayodhya.jpg,#
Nepal,Lumbini,Birthplace of Lord Buddha.,https://i.postimg.cc/dVnD6bpT/Ram-Janambhoomi-Temple-Ayodhya.jpg,#
Nepal,Pokhara,Scenic lakeside city.,https://i.postimg.cc/dVnD6bpT/Ram-Janambhoomi-Temple-Ayodhya.jpg,#
Nepal,Chitwan,National park & wildlife.,https://i.postimg.cc/dVnD6bpT/Ram-Janambhoomi-Temple-Ayodhya.jpg,#
Nepal,Kathmandu,Capital with rich heritage.,https://i.postimg.cc/dVnD6bpT/Ram-Janambhoomi-Temple-Ayodhya.jpg,#
Nepal,Janakpur,Birthplace of Goddess Sita.,https://i.postimg.cc/dVnD6bpT/Ram-Janambhoomi-Temple-Ayodhya.jpg,#
